schema_version,profile_id,profile_family,temperature_mode,allowed_doneness,default_doneness,forbidden_doneness,allowed_intentions,default_intention,forbidden_intentions,hide_doneness_selector,default_method,expected_phases,qa_profile,setup_minutes_min,setup_minutes_max,active_cook_min_minutes,active_cook_max_minutes,rest_min_minutes,rest_max_minutes,cut_plan_minutes_min,cut_plan_minutes_max,session_total_minutes_min,session_total_minutes_max,required_zones,preferred_zones,zone_demand,requires_lid,requires_probe,requires_two_zone_fire,requires_drip_pan,requires_foil,requires_water_pan,timing_sensitivity,serve_window_minutes,can_hold_warm,max_hold_minutes,hold_method,hold_quality_curve,attention_load,max_unattended_minutes,attention_interval_minutes,flip_interval_minutes,texture_target,target_internal_temp_c_min,target_internal_temp_c_max,pull_temp_c_min,pull_temp_c_max,final_temp_c_min,final_temp_c_max,carryover_expected_c,required_warnings,notes
2.1,steak_direct,beef_steak,doneness_target,blue|rare|medium_rare|medium|medium_well|well_done,medium_rare,low_slow_92c|pull_apart,quick_steak|premium_steak|family_dinner,premium_steak,,false,direct_sear_two_zone_finish_if_needed,preheat|direct_sear|flip|finish_to_target|rest,steak_qa,10,15,6,20,5,10,11,30,21,45,direct|indirect,direct_then_indirect_if_needed,medium,optional,recommended,recommended,,,,high,8,false,5,none,declines_fast,medium,3,2,2,sliceable_juicy,50,60,48,57,50,60,2,pat_dry_before_sear|serve_immediately,"Default direct steak profile. QA uses cutPlanMinutes, not preheat."
2.1,steak_direct_thin,beef_thin_steak,doneness_target,rare|medium_rare|medium,medium_rare,well_done|low_slow_92c|pull_apart,quick_steak|bbq_event,quick_steak,,false,hot_direct_fast_sear,preheat|direct_fast_sear|rest|slice_against_grain,thin_steak_qa,10,15,4,12,3,8,7,20,17,35,direct,hot_direct_last_minute,medium,optional,optional,recommended,,,,high,5,false,0,none,declines_fast,high,1,1,1,sliceable_juicy,50,58,48,55,50,58,1,slice_against_grain|serve_immediately|overcook_risk,Thin cuts such as skirt/flank; schedule near service.
2.1,thick_beef_direct_indirect,beef_thick_steak,doneness_target,rare|medium_rare|medium,medium_rare,well_done|low_slow_92c|pull_apart,premium_steak|bbq_event|family_dinner,premium_steak,,false,reverse_sear_or_indirect_then_direct,preheat|indirect_warmup|direct_sear|rest|slice,thick_steak_qa,12,20,25,75,8,15,33,90,45,110,indirect|direct,indirect_then_direct,large,true,recommended,true,,,,medium,12,true,12,foil_tent,declines_medium,medium,6,4,4,sliceable_juicy,50,58,48,55,50,58,3,probe_away_from_bone|serve_immediately,"Used for chuletón, tomahawk, T-bone thick cuts."
2.1,beef_roast_reverse_sear,beef_roast_doneness,doneness_target,medium_rare|medium,medium_rare,rare|well_done|low_slow_92c|pull_apart,premium_roast|bbq_event|family_dinner,family_dinner,,false,reverse_sear,preheat|indirect_roast|direct_sear|rest|slice_against_grain,beef_roast_doneness_qa,12,20,25,65,10,20,35,85,47,105,indirect|direct,indirect_then_direct,medium,true,recommended,true,,,,medium,15,true,20,foil_tent,stable_short,medium,7,5,6,sliceable_juicy,52,58,49,55,52,58,3,slice_against_grain|do_not_use_92c_target,"Tri-tip style roasts: doneness target, not texture breakdown."
2.1,beef_fat_cap_direct_indirect,beef_fat_cap,doneness_target,medium_rare|medium,medium_rare,rare|well_done|low_slow_92c|pull_apart,premium_steak|bbq_event|family_dinner,premium_steak,,false,indirect_then_brief_fat_cap_sear,preheat|indirect_roast|brief_fat_cap_sear|rest|slice_against_grain,fat_cap_beef_roast_qa,12,20,30,75,10,20,40,95,52,115,indirect|direct,indirect_then_brief_direct,medium,true,recommended,true,,,,medium,15,true,25,foil_tent,stable_short,medium,8,5,10,sliceable_juicy,52,58,49,55,52,58,3,fat_cap_burn_risk|flare_up_risk|move_to_indirect_on_flareup,Picanha whole profile. Fat-cap sear is brief and controlled.
2.1,steak_direct_fat_cap_edge,beef_steak_fat_edge,doneness_target,medium_rare|medium,medium_rare,rare|well_done|low_slow_92c|pull_apart,quick_steak|premium_steak,premium_steak,,false,direct_sear_then_brief_fat_edge_render,preheat|direct_sear|edge_fat_render_brief|rest,steak_qa,10,15,8,18,5,10,13,28,23,43,direct|indirect,direct_then_indirect_if_needed,medium,optional,recommended,recommended,,,,high,8,false,5,none,declines_fast,medium,3,2,2,sliceable_juicy,52,58,50,55,52,58,2,do_not_burn_fat_edge|flare_up_risk,Picanha steaks or fat-edge steaks.
2.1,low_and_slow_beef,beef_low_slow,texture_breakdown,,,rare|medium_rare|medium|medium_well|steak_doneness,low_slow|bbq_event|meal_prep,low_slow,quick_steak|quick_dinner,true,low_and_slow_indirect,preheat|low_slow_indirect|stall_management|wrap_optional|probe_tender_check|long_rest_or_hold,low_slow_texture_qa,15,35,240,900,30,180,270,1080,285,1115,indirect,low_indirect_smoke,large,true,required,true,recommended,optional,optional,low,90,true,240,foil_towel_cooler_hold,stable_or_improves,low,60,45,,probe_tender_sliceable_or_shreddable,88,96,88,96,88,96,1,hide_steak_doneness|probe_tender_not_doneness|stall_expected,"Chuck roast, brisket, short ribs. Never expose steak doneness selector."
2.1,pork_thin_direct,pork_grill,safe_temp,,,rare|medium_rare|steak_doneness,quick_dinner|family_dinner|bbq_event,family_dinner,,true,direct_fast_sear_to_safe_temp,preheat|direct_sear|safe_temp_check|short_rest,pork_safe_temp_qa,10,15,6,16,3,8,9,24,19,39,direct,direct_medium_high,medium,optional,recommended,recommended,,,,high,8,false,5,none,declines_fast,medium,2,2,2,safe_juicy_crisp_edges,63,68,61,66,63,68,2,safe_pork_temp|flare_up_risk_if_fatty,Thin pork cuts like secreto.
2.1,pork_direct_indirect,pork_grill,safe_temp,,,rare|medium_rare|steak_doneness,family_dinner|bbq_event,family_dinner,,true,direct_sear_then_indirect_to_safe_temp,preheat|direct_sear|indirect_finish|safe_temp_check|rest,pork_safe_temp_qa,10,15,14,35,5,10,19,45,29,60,direct|indirect,direct_then_indirect,medium,recommended,recommended,true,,,,medium,10,false,5,none,declines_fast,medium,4,3,3,safe_juicy_sliceable,63,68,61,66,63,68,2,safe_pork_temp,Thicker pork grill cuts.
2.1,pork_lean_direct_indirect,pork_lean,safe_temp,,,rare|medium_rare|steak_doneness,quick_dinner|family_dinner,family_dinner,,true,quick_sear_then_gentle_finish,preheat|direct_sear|indirect_finish|safe_temp_check|rest,pork_safe_temp_qa,10,15,16,35,5,10,21,45,31,60,direct|indirect,direct_then_indirect,medium,recommended,recommended,true,,,,high,8,false,5,none,declines_fast,medium,3,2,3,safe_juicy_sliceable,63,68,61,66,63,68,2,lean_cut_dry_risk|safe_pork_temp,Pork tenderloin; dry-out sensitive.
