schema_version,migration_phase,migration_status,animal,category,cut_id,variant_id,display_group,name_es,name_en,name_fi,aliases,anatomical_area,cooking_profile,prep_profile,input_profile,temperature_mode,default_method,required_phases,setup_visual_key,icon_key,allowed_doneness,default_doneness,forbidden_doneness,allowed_intentions,default_intention,forbidden_intentions,hide_doneness_selector,texture_target,qa_profile,preheat_required,setup_minutes_min,setup_minutes_max,active_cook_min_minutes,active_cook_max_minutes,rest_min_minutes,rest_max_minutes,cut_plan_minutes_min,cut_plan_minutes_max,session_total_minutes_min,session_total_minutes_max,prep_lead_time_min_minutes,prep_lead_time_max_minutes,salt_strategy,salt_timing_min_minutes,salt_timing_max_minutes,salt_amount_guidance,salt_surface_guidance,prep_warning_codes,raw_weight_per_person_g_min,raw_weight_per_person_g_max,cooked_yield_percent,bone_waste_percent,fat_trim_loss_percent,serving_portion_g,serves_as_main_min,serves_as_main_max,timing_sensitivity,serve_window_minutes,serving_wave,ideal_service_order,can_hold_warm,max_hold_minutes,hold_method,hold_quality_curve,reheat_possible,reheat_method,required_zones,preferred_zones,zone_demand,grill_area_units,shape_profile,batchable,batch_size_guidance,can_overlap,compatible_parallel_profiles,incompatible_parallel_profiles,requires_lid,requires_probe,requires_two_zone_fire,requires_drip_pan,requires_foil,requires_water_pan,compatible_equipment,preferred_equipment,setup_complexity,target_internal_temp_c_min,target_internal_temp_c_max,pull_temp_c_min,pull_temp_c_max,final_temp_c_min,final_temp_c_max,carryover_expected_c,probe_placement_guidance,probe_required_for_accuracy,has_fat_cap,fat_cap_behavior,flare_up_risk,requires_move_on_flareup,dry_out_risk,overcook_risk,food_safety_risk,cross_contamination_risk,stall_expected,attention_load,critical_action_count,max_unattended_minutes,attention_interval_minutes,flip_interval_minutes,spritz_or_baste_interval_minutes,slicing_required,slicing_grain_guidance,slicing_angle_guidance,slice_thickness_guidance,serve_immediately,serving_temp_sensitivity,doneness_visual_cues,best_for,difficulty,forgivingness,shopping_category,buying_unit,typical_piece_weight_g_min,typical_piece_weight_g_max,availability_tier,cost_tier,butcher_instruction,warning_codes,v1_fallback_profile,migration_notes,engine_notes
2.1,1,ready,beef,beef_specialty,picanha,whole,picanha,Picanha entera / Tapilla con grasa,Whole picanha / rump cap,Picanha / paahtopaistin rasvahattu,rump_cap|sirloin_cap|tapilla|tapa_de_cuadril,rump cap / top sirloin cap,beef_fat_cap_direct_indirect,beef_thick_dry_brine_fat_cap,whole_picanha_weight_thickness,doneness_target,indirect_then_brief_fat_cap_sear,preheat|indirect_roast|brief_fat_cap_sear|rest|slice_against_grain,indirect_gas_or_charcoal_then_direct_finish,picanha,medium_rare|medium,medium_rare,rare|well_done|low_slow_92c|pull_apart,premium_steak|bbq_event|family_dinner,premium_steak,,false,sliceable_juicy,fat_cap_beef_roast_qa,true,12,20,30,75,10,20,40,95,52,115,120,1440,dry_brine,120,1440,moderate,meat_side_generous_fat_cap_light,avoid_heavy_salt_on_fat_cap|pat_dry_before_sear,250,380,78,0,5,200,3,6,medium,15,main,2,true,25,foil_tent,stable_short,false,,indirect|direct,indirect_then_brief_direct,medium,3,whole_roast_with_fat_cap,true,by_grill_area,true,,,true,recommended,true,false,false,false,gas_grill|charcoal|kamado,gas_grill|charcoal,,52,58,49,55,52,58,3,center_thickest_part_away_from_fat_cap,true,true,keep_fat_cap_indirect_then_sear_briefly_never_leave_over_flames,high,true,medium,medium,low,low,false,medium,5,8,5,10,,true,slice_steaks_then_against_grain_at_service,straight_or_bias,medium,false,medium,firm_edges_warm_red_center_for_medium_rare,bbq_party|premium_family_dinner,medium,medium,beef,piece_or_kg,900,1800,common_butcher,premium,ask_for_rump_cap_with_even_fat_cap,fat_cap_burn_risk|flare_up_risk|move_to_indirect_on_flareup|slice_against_grain,generic_grill_v1,Phase 1 critical: fixes too-short picanha plans and adds fat-cap logic.,Do not expose fat cap to direct flame for long; schedule brief fat-cap sear as controlled phase.
2.1,1,ready,beef,beef_steak,picanha,steaks,picanha,Filetes de picanha,Picanha steaks,Picanha-pihvit,rump_cap_steaks|sirloin_cap_steaks,rump cap / top sirloin cap,steak_direct_fat_cap_edge,beef_steak_dry_brine,steak_thickness_count,doneness_target,direct_sear_then_finish,preheat|direct_sear|edge_fat_render_brief|rest,direct_two_zone_steak,picanha,medium_rare|medium,medium_rare,rare|well_done|low_slow_92c|pull_apart,quick_steak|premium_steak,premium_steak,,false,sliceable_juicy,steak_qa,true,10,15,8,18,5,10,13,28,23,43,45,720,dry_brine,45,720,moderate,all_sides_fat_edge_light,pat_dry_before_sear,220,330,82,0,3,190,1,1,high,8,main,2,false,5,none,declines_fast,false,,direct|indirect,direct_then_indirect_if_needed,medium,1,steak_with_fat_edge,true,by_grill_area,true,,,optional,recommended,true,false,false,false,gas_grill|charcoal|kamado,gas_grill|charcoal,,52,58,50,55,52,58,2,side_insert_center_of_steak,true,true,brief_edge_render_only,medium,true,medium,high,low,low,false,medium,4,3,2,2,,optional,against_grain,,medium,true,high,,quick_premium_steak,medium,medium,beef,piece_or_kg,220,450,common_butcher,premium,,flare_up_risk|do_not_burn_fat_edge,generic_grill_v1,Supported as variant separate from whole picanha.,"Use steak timings, not whole-roast timings."
2.1,1,ready,beef,beef_steak,ribeye,steak,ribeye,Ribeye / Entrecot,Ribeye steak,Ribeye steak,entrecot|rib_eye|cube_roll,rib primal / rib eye,steak_direct,beef_steak_dry_brine,steak_thickness_count,doneness_target,direct_sear_two_zone_finish_if_needed,preheat|direct_sear|flip|finish_to_target|rest,direct_two_zone_steak,ribeye,blue|rare|medium_rare|medium|medium_well|well_done,medium_rare,low_slow_92c|pull_apart,quick_steak|premium_steak|family_dinner,premium_steak,,false,sliceable_juicy,steak_qa,true,10,15,7,18,5,10,12,28,22,43,45,1440,dry_brine,45,1440,generous,all_sides,pat_dry_before_sear,220,350,82,0,2,190,1,1,high,8,main,2,false,5,none,declines_fast,false,,direct|indirect,direct_then_indirect_if_needed,medium,1,single_steak,true,by_grill_area,true,,,optional,recommended,recommended,false,false,false,gas_grill|charcoal|kamado,gas_grill|charcoal,,52,60,50,57,52,60,2,side_insert_center_thickest_part,true,false,none,medium,true,medium,high,low,low,false,medium,4,3,2,2,,optional,against_grain,,medium,true,high,finger_test_or_probe_temp,premium_steak|quick_dinner,easy,medium,beef,piece_or_kg,250,450,common,premium,ask_for_even_thickness_3_to_4_cm,pat_dry_before_sear|serve_immediately,generic_grill_v1,Phase 1 core steak sanity row.,Uses doneness temps; never use low-and-slow 92C target.
2.1,1,ready,beef,beef_steak,striploin,steak,striploin,Lomo bajo / New York strip,Striploin / New York strip,Striploin / New York strip,new_york_strip|sirloin_strip|contra_fillet,short loin,steak_direct,beef_steak_dry_brine,steak_thickness_count,doneness_target,direct_sear_two_zone_finish_if_needed,preheat|direct_sear|flip|finish_to_target|rest,direct_two_zone_steak,striploin,rare|medium_rare|medium|medium_well,medium_rare,low_slow_92c|pull_apart,quick_steak|premium_steak|family_dinner,premium_steak,,false,sliceable_juicy,steak_qa,true,10,15,7,17,5,10,12,27,22,42,45,1440,dry_brine,45,1440,generous,all_sides,pat_dry_before_sear,220,350,82,0,2,190,1,1,high,8,main,2,false,5,none,declines_fast,false,,direct|indirect,direct_then_indirect_if_needed,medium,1,single_steak,true,by_grill_area,true,,,optional,recommended,recommended,false,false,false,gas_grill|charcoal|kamado,gas_grill|charcoal,,52,60,50,57,52,60,2,side_insert_center_thickest_part,true,false,none,low,false,medium,high,low,low,false,medium,4,3,2,2,,optional,against_grain,,medium,true,high,finger_test_or_probe_temp,premium_steak|quick_dinner,easy,medium,beef,piece_or_kg,250,450,common,premium,ask_for_even_thickness_3_to_4_cm,pat_dry_before_sear|serve_immediately,generic_grill_v1,Phase 1 core steak sanity row.,Uses doneness temps; never use low-and-slow 92C target.
2.1,1,ready,beef,beef_steak,tenderloin,steak,tenderloin,Solomillo de vacuno,Beef tenderloin / filet mignon,Beef tenderloin / filet mignon,filet_mignon|fillet_steak|solomillo,loin / psoas major,steak_direct,beef_steak_dry_brine,steak_thickness_count,doneness_target,direct_sear_two_zone_finish_if_needed,preheat|direct_sear|flip|finish_to_target|rest,direct_two_zone_steak,tenderloin,rare|medium_rare|medium|medium_well,medium_rare,low_slow_92c|pull_apart,quick_steak|premium_steak|family_dinner,premium_steak,,false,sliceable_juicy,steak_qa,true,10,15,6,16,5,10,11,26,21,41,45,1440,dry_brine,45,1440,generous,all_sides,pat_dry_before_sear,220,350,82,0,2,190,1,1,high,8,main,2,false,5,none,declines_fast,false,,direct|indirect,direct_then_indirect_if_needed,medium,1,single_steak,true,by_grill_area,true,,,optional,recommended,recommended,false,false,false,gas_grill|charcoal|kamado,gas_grill|charcoal,,52,58,50,55,52,58,2,side_insert_center_thickest_part,true,false,none,low,false,high,high,low,low,false,medium,4,3,2,2,,optional,against_grain,,medium,true,high,finger_test_or_probe_temp,premium_steak|quick_dinner,medium,low,beef,piece_or_kg,250,450,common,luxury,ask_for_even_thickness_3_to_4_cm,pat_dry_before_sear|serve_immediately,generic_grill_v1,Phase 1 core steak sanity row.,Uses doneness temps; never use low-and-slow 92C target.
2.1,1,ready,beef,beef_steak,ribeye,bone_in_chuleton,ribeye,Chuletón / Ribeye con hueso,Bone-in ribeye / côte de boeuf,Luullinen ribeye / côte de boeuf,chuleton|chuletón|bone_in_ribeye|cote_de_boeuf|cowboy_steak,rib primal / rib eye with rib bone,thick_beef_direct_indirect,beef_thick_dry_brine,thick_steak_bone_in_thickness_weight,doneness_target,reverse_sear_or_indirect_then_direct,preheat|indirect_warmup|direct_sear|rest|slice,reverse_sear_two_zone,ribeye_bone_in,rare|medium_rare|medium,medium_rare,well_done|low_slow_92c|pull_apart,premium_steak|bbq_event|family_dinner,premium_steak,,false,sliceable_juicy,thick_steak_qa,true,12,20,25,65,8,15,33,80,45,100,120,1440,dry_brine,120,1440,generous,all_sides_edges_bone_side,pat_dry_before_sear,350,550,76,14,3,250,1,3,medium,12,main,2,true,12,foil_tent,declines_medium,false,,indirect|direct,indirect_then_direct,large,3,large_bone_in_steak,false,by_grill_area,true,,,true,recommended,true,false,false,false,gas_grill|charcoal|kamado,gas_grill|charcoal,,50,58,48,55,50,58,3,center_thickest_meat_away_from_bone_and_fat,true,false,fat_edges_render_briefly,medium,true,medium,medium,low,low,false,medium,5,6,4,4,,true,remove_bone_then_slice_against_grain,straight,thick,true,high,,premium_bbq|sharing_steak,medium,medium,beef,piece,700,1400,butcher_only,luxury,ask_for_4_to_6_cm_bone_in_ribeye_chuleton_even_thickness,probe_away_from_bone|serve_immediately|do_not_use_92c_target,generic_grill_v1,Explicitly added from user request: Chuletón as ribeye variant.,Variant must appear under ribeye options; use thick steak profile and bone-aware probe guidance.
2.1,1,ready,beef,beef_roast,tri_tip,whole,tri_tip,Tri-tip entero / Colita de cuadril,Whole tri-tip,Tri-tip,colita_de_cuadril|triangle_steak|bottom_sirloin_tri_tip,bottom sirloin,beef_roast_reverse_sear,beef_thick_dry_brine,whole_roast_weight_thickness,doneness_target,reverse_sear,preheat|indirect_roast|direct_sear|rest|slice_against_grain,reverse_sear_two_zone,tri_tip,medium_rare|medium,medium_rare,rare|well_done|low_slow_92c|pull_apart,premium_roast|bbq_event|family_dinner,family_dinner,,false,sliceable_juicy,beef_roast_doneness_qa,true,12,20,25,55,10,15,35,70,47,90,120,1440,dry_brine,120,1440,moderate,all_sides,pat_dry_before_sear,250,360,78,0,4,200,3,6,medium,15,main,2,true,20,foil_tent,stable_short,false,,indirect|direct,indirect_then_direct,medium,2,triangular_roast,true,by_grill_area,true,,,true,recommended,true,false,false,false,gas_grill|charcoal|kamado,gas_grill|charcoal,,52,58,49,55,52,58,3,center_thickest_part,true,false,trim_silver_skin_if_needed,low,false,medium,medium,low,low,false,medium,5,7,5,6,,true,find_two_grain_directions_and_slice_against_each,bias_slice,thin_to_medium,false,medium,,bbq_event|family_dinner,medium,medium,beef,piece_or_kg,800,1600,specialty,medium,ask_for_whole_tri_tip_not_cut_into_steaks,slice_against_two_grain_directions|do_not_use_92c_target,generic_grill_v1,Phase 1 critical: fixes 92C medium-rare bug.,"Tri-tip is doneness target, not texture breakdown."
2.1,1,ready,beef,beef_low_slow,chuck_roast,whole,chuck_roast,Aguja / Chuck roast entero,Whole chuck roast,Naudan etuselkä / chuck roast,aguja|paleta_de_res|chuck_roll|beef_shoulder_roast,shoulder / chuck,low_and_slow_beef,low_slow_dry_brine,low_slow_weight_only,texture_breakdown,low_and_slow_indirect,preheat|low_slow_indirect|wrap_optional|probe_tender_check|long_rest,low_slow_indirect,chuck_roast,,,rare|medium_rare|medium|medium_well|steak_doneness,low_slow|meal_prep|bbq_event,low_slow,quick_steak,true,sliceable_or_shreddable_probe_tender,low_slow_texture_qa,true,15,30,240,480,30,90,270,570,285,600,720,1440,dry_brine,720,1440,generous,all_sides,low_slow_salt_ahead_recommended,300,450,62,0,6,180,4,8,low,60,main,2,true,120,foil_towel_cooler_hold,stable_or_improves,true,covered_indirect_low,indirect,low_indirect,medium,3,large_roast,false,by_grill_area,true,vegetables_direct|steak_direct|pork_thin_direct,fish_direct_delicate,true,required,true,recommended,optional,optional,gas_grill|charcoal|kamado,gas_grill|charcoal,,88,96,88,96,88,96,1,multiple_points_until_probe_tender,true,false,render_connective_tissue_low_slow,low,false,medium,low,low,low,true,low,4,45,30,,45,optional,slice_against_grain_or_shred,,medium_or_shredded,false,low,,bbq_event|meal_prep,medium,high,beef,piece_or_kg,1500,3500,common_butcher,medium,,hide_steak_doneness|probe_tender_not_doneness|stall_expected,generic_grill_v1,Phase 1 critical: should not show al punto menos or steak temps.,Do not use user doneness labels; use texture target and probe tenderness.
2.1,1,ready,beef,beef_low_slow,brisket,whole,brisket,Brisket entero / Pecho de vacuno,Whole brisket,Naudan rinta / brisket,beef_brisket|pecho|rinta,breast / pectoral,low_and_slow_beef,low_slow_dry_brine,low_slow_weight_only,texture_breakdown,low_and_slow_smoke_indirect,preheat|low_slow_smoke|stall_management|wrap_optional|probe_tender_check|long_hold,low_slow_indirect_smoke,brisket,,,rare|medium_rare|medium|steak_doneness,low_slow|bbq_event|meal_prep,bbq_event,quick_dinner|quick_steak,true,sliceable_probe_tender,low_slow_texture_qa,true,20,35,480,900,60,180,540,1080,560,1115,720,1440,dry_brine,720,1440,generous,all_sides,low_slow_salt_ahead_recommended,350,550,55,0,12,180,8,16,low,90,main,2,true,240,foil_towel_cooler_hold,stable_or_improves,true,covered_indirect_low,indirect,low_indirect_smoke,large,5,large_flat_pack_or_flat,false,by_grill_area,true,vegetables_direct|pork_thin_direct|steak_direct,fish_direct_delicate,true,required,true,recommended,optional,optional,gas_grill|charcoal|kamado,gas_grill|charcoal,,90,96,90,96,90,96,1,thickest_part_flat_and_point_if_whole,true,true,trim_to_even_layer_and_cook_fat_side_toward_heat_if_needed,low,false,medium,low,low,low,true,low,5,60,45,,45,true,slice_against_grain_after_rest,straight,pencil_thick,false,low,,bbq_event|large_group,hard,medium,beef,piece_or_kg,3000,7000,butcher_only,premium,,stall_expected|probe_tender_not_doneness|long_hold_ok|hide_steak_doneness,generic_grill_v1,Phase 1 low-and-slow benchmark.,Can finish early and hold; important for Parrillada Engine.
2.1,1,ready,beef,beef_low_slow,beef_short_ribs,rack_or_individual,beef_short_ribs,Costilla corta de vacuno,Beef short ribs,Naudan lyhyet kylkiluut,short_ribs|asado_de_tira_thick|beef_ribs,rib plate / chuck ribs,low_and_slow_beef,low_slow_dry_brine,low_slow_weight_count,texture_breakdown,low_and_slow_indirect,preheat|low_slow_indirect|probe_tender_check|rest,low_slow_indirect_smoke,short_ribs,,,rare|medium_rare|medium|steak_doneness,low_slow|bbq_event,low_slow,,true,probe_tender_sliceable,low_slow_texture_qa,true,20,30,300,540,30,90,330,630,350,660,720,1440,dry_brine,720,1440,generous,meat_sides,,350,550,52,25,5,180,2,6,low,60,main,2,true,120,foil_towel_cooler_hold,stable,false,,indirect,low_indirect_smoke,medium,3,bone_rack_or_blocks,true,by_grill_area,true,,,true,required,true,recommended,optional,false,gas_grill|charcoal|kamado,gas_grill|charcoal,,90,96,90,96,90,96,1,between_bones_in_meat_not_touching_bone,true,false,render_intramuscular_fat_low_slow,low,,low,low,low,low,true,low,4,45,30,,45,optional,between_bones_or_against_grain,,bone_portions,false,low,,bbq_event,medium,high,beef,rack_or_kg,1000,3000,butcher_only,premium,,probe_away_from_bone|probe_tender_not_doneness|hide_steak_doneness,generic_grill_v1,Phase 1 multicook low-and-slow example.,Bone waste affects portions.
