id,animal_id,canonical_name_en,input_profile_id,default_thickness_cm,show_thickness,allowed_methods,default_method,allowed_doneness,style,resting_minutes,cooking_minutes,error_en,aliases_en,notes_en,tips_en
aguja,beef,Chuck,beef-steak,5,true,grill_direct|grill_indirect|oven_pan,grill_indirect,blue|rare|medium_rare|medium|medium_well|well_done,thick,7,,Treating it like a thin steak: it needs control and a little more time.,Aguja|Chuck,
lomo_alto,beef,Rib steak,beef-large,5,true,grill_direct|grill_indirect|oven_pan,grill_indirect,blue|rare|medium_rare|medium|medium_well|well_done,thick,7,,Overshooting the temperature: it climbs quickly at the end.,Lomo alto|Rib steak,
tomahawk,beef,Tomahawk,beef-large,6,true,reverse_sear|grill_indirect|oven_pan,reverse_sear,blue|rare|medium_rare|medium|medium_well|well_done,reverse,10,,Cooking it only over direct heat: it burns outside before the center is ready.,Tomahawk,
entrecote,beef,Ribeye,beef-steak,3,true,grill_direct|oven_pan,grill_direct,blue|rare|medium_rare|medium|medium_well|well_done,fast,5,,Moving it too much and losing the crust.,Entrecote|Ribeye,
picanha,beef,Picanha,beef-large,4,true,grill_direct|grill_indirect|oven_pan,grill_indirect,blue|rare|medium_rare|medium|medium_well|well_done,fatcap,7,,Burning the fat cap before rendering it.,Picanha,
maminha,beef,Tri-tip,beef-steak,4,true,grill_direct|grill_indirect|oven_pan,grill_indirect,blue|rare|medium_rare|medium|medium_well|well_done,thick,7,,Slicing it in the wrong direction.,Maminha|Tri-tip,
bavette,beef,Bavette,default,2,false,grill_direct|oven_pan,grill_direct,blue|rare|medium_rare|medium|medium_well|well_done,fast,5,,Overcooking it: it gets tough quickly.,Bavette|Babette,
entrana,beef,Skirt steak,default,2,false,grill_direct|oven_pan,grill_direct,blue|rare|medium_rare|medium|medium_well|well_done,fast,5,,Not slicing against the grain.,Entrana|Skirt steak,
secreto_iberico,pork,Iberian secreto,pork-fast,2,false,grill_direct|oven_pan,grill_direct,juicy_safe|medium_safe|well_done,fast,4,,Overcooking it: it loses juice and turns greasy or dry.,Iberian secreto,
presa_iberica,pork,Iberian presa,pork-fast,4,true,grill_direct|grill_indirect|oven_pan,grill_indirect,juicy_safe|medium_safe|well_done,thick,7,,Slicing it immediately: it needs rest to stay juicy.,Iberian presa,
costillas,pork,Ribs,default,5,false,grill_indirect,grill_indirect,well_done,lowSlow,15,,Cooking them fast over direct heat: they turn tough and burnt.,Ribs,
panceta,pork,Pork belly,pork-fast,4,true,grill_indirect|oven_pan,grill_indirect,well_done,crispy,8,,Starting at maximum heat: it burns before becoming tender.,Pork belly,
solomillo,pork,Tenderloin,default,3,true,grill_direct|oven_pan,grill_direct,juicy_safe|medium_safe|well_done,fast,5,,Overshooting the temperature: it is lean and dries very fast.,Tenderloin,
pork_chop,pork,Pork chop,default,3,true,grill_direct|grill_indirect|oven_pan,grill_indirect,juicy_safe|medium_safe|well_done,thick,5,,Skipping the rest: the chop loses juice when sliced.,Pork chop,
muslos,chicken,Thighs,default,4,false,grill_indirect|grill_direct|oven_pan,grill_indirect,safe|well_done,poultry,5,,Browning hard before cooking through: the skin burns while the center stays underdone.,Thighs,
alitas,chicken,Wings,default,2,false,grill_indirect|grill_direct|oven_pan,grill_indirect,safe|well_done,poultry,3,,Keeping them over constant flame: they burn before staying juicy.,Wings,
pechuga,chicken,Breast,chicken-breast,3,true,grill_direct|grill_indirect|oven_pan,grill_indirect,safe|well_done,poultry,5,,Holding it past 74C for too long: it dries quickly.,Breast,
pollo_entero,chicken,Whole chicken,poultry-whole,6,false,grill_indirect|oven_pan,grill_indirect,safe|well_done,poultry,10,,Cooking it only direct: it burns outside before the center is ready.,Whole chicken,
rodaballo,fish,Turbot,fish-whole,3,true,grill_direct|oven_pan,grill_direct,juicy|medium|well_done,fish,2,,Moving it too much: the skin sticks and tears.,Turbot,
salmon,fish,Salmon,fish-fillet,3,true,grill_direct|oven_pan,grill_direct,juicy|medium|well_done,fish,2,,Cooking without drying the skin: it loses crust and sticks.,Salmon,
lubina,fish,Sea bass,fish-whole,2,true,grill_direct|oven_pan,grill_direct,juicy|medium|well_done,fish,2,,Using excessive heat the whole time: it dries before browning well.,Sea bass,
dorada,fish,Sea bream,fish-whole,2,true,grill_direct|oven_pan,grill_direct,juicy|medium|well_done,fish,2,,Turning it too often: it breaks and loses juices.,Sea bream,
maiz,vegetables,Corn,vegetable-format,2,false,vegetables_grill,vegetables_grill,,vegetable,1,25,Burning the outside before the inside softens.,Corn,Use oil salt and controlled direct heat. Pull when tender and browned.,Base time: 25 min|Cut evenly|Oil before grilling
berenjena,vegetables,Eggplant,vegetable-format,2,false,vegetables_grill,vegetables_grill,,vegetable,1,18,Burning the outside before the inside softens.,Eggplant,Use oil salt and controlled direct heat. Pull when tender and browned.,Base time: 18 min|Cut evenly|Oil before grilling
patata,vegetables,Potato,vegetable-format,2,false,vegetables_grill,vegetables_grill,,vegetable,1,45,Burning the outside before the inside softens.,Potato,Use oil salt and controlled direct heat. Pull when tender and browned.,Base time: 45 min|Cut evenly|Oil before grilling
