case_id,animal,cut,thickness,doneness,equipment,language,status,issue_code,issue_message,response_excerpt
case-000001,Vacuno,aguja,2,blue,parrilla gas,es,OK,,,sellado fuerte + cocción indirecta. Equipo: parrilla gas. 3 min por lado + 4 min indirecto + 7 min reposo Temperatura de salida: 44°C. Temperatura final esperada tras reposo: 46°C. 1. Precalentar parrilla: Prepara fuego directo y una zona s
case-000002,Beef,aguja,2,blue,parrilla gas,en,OK,,,hard sear + indirect cooking. Use parrilla gas. 3 min per side + 4 min indirect + 7 min rest Pull target: 44°C. Expected final temperature after rest: 46°C. 1. Preheat grill: Create direct heat and a cooler safety zone. (10 min) 2. Sear sid
case-000003,Vacuno,aguja,2,blue,parrilla carbón,es,OK,,,sellado fuerte + cocción indirecta. Equipo: parrilla carbón. 3 min por lado + 4 min indirecto + 7 min reposo Temperatura de salida: 44°C. Temperatura final esperada tras reposo: 46°C. 1. Preparar zonas de carbón: Prepara zona fuerte de calo
case-000004,Beef,aguja,2,blue,parrilla carbón,en,OK,,,hard sear + indirect cooking. Use parrilla carbón. 3 min per side + 4 min indirect + 7 min rest Pull target: 44°C. Expected final temperature after rest: 46°C. 1. Prepare charcoal zones: Build a strong direct zone and a cooler safety side. 
case-000005,Vacuno,aguja,2,blue,kamado,es,OK,,,sellado fuerte + cocción indirecta. Equipo: kamado. 3 min por lado + 4 min indirecto + 7 min reposo Temperatura de salida: 44°C. Temperatura final esperada tras reposo: 46°C. 1. Estabilizar kamado: Estabiliza temperatura de cúpula y define 
case-000006,Beef,aguja,2,blue,kamado,en,OK,,,hard sear + indirect cooking. Use kamado. 3 min per side + 4 min indirect + 7 min rest Pull target: 44°C. Expected final temperature after rest: 46°C. 1. Stabilize kamado: Stabilize dome temperature and define direct/indirect zones. (10 min
case-000007,Vacuno,aguja,2,blue,cocina interior,es,OK,,,sartén fuerte + horno suave si hace falta. Equipo: cocina interior. 3 min por lado + 4 min indirecto + 7 min reposo Temperatura de salida: 44°C. Temperatura final esperada tras reposo: 46°C. 1. Precalentar sartén: Usa sartén caliente y deja
case-000008,Beef,aguja,2,blue,cocina interior,en,OK,,,hot pan + gentle oven if needed. Use cocina interior. 3 min per side + 4 min indirect + 7 min rest Pull target: 44°C. Expected final temperature after rest: 46°C. 1. Preheat pan: Use a hot pan and keep space between pieces. (10 min) 2. Sear
case-000009,Vacuno,aguja,2,blue,Napoleon Rogue 525-2,es,OK,,,sellado fuerte + cocción indirecta. Equipo: Napoleon Rogue 525-2. 3 min por lado + 4 min indirecto + 7 min reposo Temperatura de salida: 44°C. Temperatura final esperada tras reposo: 46°C. 1. Precalentar parrilla: Prepara fuego directo y un
case-000010,Beef,aguja,2,blue,Napoleon Rogue 525-2,en,OK,,,hard sear + indirect cooking. Use Napoleon Rogue 525-2. 3 min per side + 4 min indirect + 7 min rest Pull target: 44°C. Expected final temperature after rest: 46°C. 1. Preheat grill: Create direct heat and a cooler safety zone. (10 min) 2. 
