schema_version,prep_profile_id,prep_family,applies_to_cooking_profiles,prep_lead_time_min_minutes,prep_lead_time_max_minutes,salt_strategy,salt_timing_min_minutes,salt_timing_max_minutes,salt_amount_guidance,salt_surface_guidance,dry_surface_required_before_cook,air_dry_uncovered_recommended,marinade_allowed,marinade_timing_min_minutes,marinade_timing_max_minutes,rub_salt_awareness,prep_warning_codes,prep_ui_title_es,prep_ui_title_en,notes
2.1,beef_steak_dry_brine,beef_steak,steak_direct|steak_direct_thin,45,1440,dry_brine,45,1440,generous,all_sides,true,true,false,,,false,pat_dry_before_sear,Salar 45 min–24 h antes,Salt 45 min–24 h before,Use just-before salting fallback if no time. Do not add prep lead time to session total.
2.1,beef_thick_dry_brine,beef_thick,thick_beef_direct_indirect|beef_roast_reverse_sear,120,1440,dry_brine,120,1440,generous,all_sides,true,true,false,,,false,pat_dry_before_sear,Salar 2–24 h antes,Salt 2–24 h before,"Chuletón, tomahawk, tri-tip. Bone-in variants need probe away from bone."
2.1,beef_thick_dry_brine_fat_cap,beef_fat_cap,beef_fat_cap_direct_indirect,120,1440,dry_brine,120,1440,moderate,meat_side_generous_fat_cap_light,true,true,false,,,false,avoid_heavy_salt_on_fat_cap|pat_dry_before_sear,Salar 2–24 h antes; grasa ligera,Salt 2–24 h before; light on fat cap,Picanha: avoid heavy salt paste on fat cap and avoid long direct flame exposure.
2.1,low_slow_dry_brine,low_slow_meat,low_and_slow_beef,720,1440,dry_brine,720,1440,generous,all_sides,false,optional,false,,,true,low_slow_salt_ahead_recommended|rub_may_include_salt,Salar 12–24 h antes,Salt 12–24 h before,"For brisket/chuck/short ribs. Texture target, not doneness."
2.1,pork_ribs_rub_salt_guard,pork_ribs,pork_ribs_low_slow,120,720,rub_salt_aware,120,720,depends_on_rub_salt,meat_side_and_bone_side_light,false,optional,true,120,720,true,avoid_double_salting_if_rub_contains_salt,Rub 2–12 h antes; cuidado con sal,Rub 2–12 h before; watch salt,Avoid double salting when rub is already salty.
2.1,pork_short_dry_brine,pork_grill,pork_thin_direct|pork_direct_indirect|pork_lean_direct_indirect,30,240,dry_brine,30,240,moderate,all_sides,true,optional,true,30,240,true,safe_pork_temp|avoid_over_salting_thin_pork,Salar 30 min–4 h antes,Salt 30 min–4 h before,Lean pork needs dry-out warnings.
2.1,poultry_short_dry_brine,poultry_piece,poultry_safe_direct,30,240,dry_brine,30,240,moderate,all_sides,true,true,true,30,240,true,separate_raw_chicken_tools|avoid_over_salting_lean_poultry,Salar 30 min–4 h antes,Salt 30 min–4 h before,Poultry prep needs raw handling warnings.
2.1,poultry_whole_dry_brine,poultry_whole,poultry_whole_indirect,240,1440,dry_brine,240,1440,moderate,skin_and_cavity,true,true,true,240,720,true,air_dry_skin_for_crispness|separate_raw_chicken_tools,Salar 4–24 h antes,Salt 4–24 h before,Whole chicken dry brine helps skin. Safe temp still mandatory.
2.1,fish_short_salt,fish,fish_direct_delicate,10,30,salt_just_before,10,30,light,flesh_side,true,false,true,10,30,false,avoid_long_salting_fish|pat_dry_before_grill,Salar 10–30 min antes,Salt 10–30 min before,Do not salt delicate fish hours ahead.
2.1,vegetable_salt_just_before,vegetables,vegetables_direct|vegetables_roast_indirect,0,5,salt_just_before,0,5,light,all_sides,false,false,true,0,30,false,avoid_early_salting_vegetables,Salar justo antes,Salt just before,Vegetables can release water if salted too early.
